pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
1282,663728,"Raleigh, Cal",2895,44.3,0.276,0.392,0.242,0.669,0.392,0.373,0.266,136,492,92.2,26.3,2247,89.7,89.95,364,1282,0,0.20000000000000284,6.41,114,148,128,150,299,325,298,-5.872,5.872,75.2,7.9,495,383,57,22,0,57,112,22.6,0,0,2.24346,0.63232,0.39447,-0.39447,93.7,189,52.219321148825074,20.365535248041773,15.757575757575756,5.75,-0.65,-0.08,2.47,0.275,78,0.458034321,0.265,0.635,-0.458034321,0.01,0.010000000000000009,0.034,0.019,28.4,37.5,17.86166745181776,-8.218157306,34.31089763860445,0.4516380655226209,34.99695751302471,35.95156896024094
1138,656941,"Schwarber, Kyle",3086,36.9,0.279,0.395,0.246,0.674,0.397,0.418,0.297,137,491,95.6,20.4,2247,89.6,89.67,331,1138,0,0.10000000000000853,6.4,117,145,129,151,299,327,297,-11.215,11.215,77.3,7.5,492,385,57,22,2,56,107,21.7,0,0,2.34855,0.54698,0.4045,-0.14623,94.9,174,62.077922077922075,22.07792207792208,17.276422764227643,5.83,-0.4,-0.11,2.38,0.278,85,0.985500879,0.298,0.706,-0.985500879,-0.018,-0.02,-0.032,-0.021,29.1,37.5,14.573284542712004,-5.794832329,30.313744154311635,0.6432337434094904,35.077063146540944,33.42247019586005
917,665742,"Soto, Juan",3015,30.4,0.306,0.294,0.28,0.6,0.378,0.429,0.33,144,470,94.4,13,2278,90.3,90.38,165,917,0,0.10000000000000853,6.45,117,146,124,151,299,328,305,-16.131,16.131,73.6,7,476,414,85,19,1,39,62,13,0,0,2.22932,0.61358,0.46919,-0.11386,94.3,171,56.65859564164649,18.401937046004843,15.966386554621847,5.73,-0.32,-0.01,2.44,0.303,76,1.75910578,0.329,0.693,-1.75910578,-0.024,-0.026,-0.093,-0.051,18,36.9,10.942524529906994,3.827239121983786,28.121171072881296,0.658669575,38.86699448770794,23.222419577743853
